id;nome;cognome;sesso;nas_luogo;nas_regione;nas_prov;nas_cap;nas_belfiore;nas_prefisso;data_nascita;data_nascita2;eta;cod_fiscale;res_luogo;res_regione;res_prov;res_cap;indirizzo;telefono;email_email;email_pass;emailcert_email;emailcert_pass;sito;titolo_studio;professione;stato_civile;coniuge;religione;autovettura;targa;partita_iva;peso;altezza;carta_identita;codice_iban;capelli;occhi;segno_zod;numerofortunato_1;numerofortunato_2;smartphone_1_marca;smartphone_1_modello;smartphone_1_annigaranzia;smartphone_2_marca;smartphone_2_modello;smartphone_2_annigaranzia
1;Santina;Stefanacci;F;Vignanello;Lazio;VT;01039;L882;0761;27/01/1942;Persona nata di Martedì (martedì), era il 27 Gennaio 1942 o, se preferite, nata il giorno mar 27 gen 42;82;STFSTN42A67L882L;Godiasco;Lombardia;PV;27052;Via Agenore, 289;0382/527142;santina.stefanacci@gmail.com;QZ97kedyL44F;santina.stefanacci@infocert.com;LI80oordT52F;http://www.santina.stefanacci.it;Licenza media;Feltraio;Coniugata;Ercole Visentin;Cristianesimo;Nissan Patrol;EH644YK;36692064234;83;145;TO88196WA;IT02L1063839700000000009573;Biondi;Marrone chiaro;Acquario;23;;;;;;;
2;Dalila;Cherchia;F;Curino;Piemonte;VC;13060;D219;0161;14/08/1985;Persona nata di Mercoledì (mercoledì), era il 14 Agosto 1985 o, se preferite, nata il giorno mer 14 ago 85;38;CHRDLL85M54D219U;Cesana Brianza;Lombardia;CO;22030;Via L.Vanvitelli, 226/k;031/839476;dcherchia@hotmail.com;NZ83quirV32X;dalila.cherchia@infocert.com;NX33rceeB77V;http://www.dalila-cherchia.org;Laurea in Filologia, Letterature e Storia dell'Antichità;Cronista;Divorziata;Martino Bindi;Islam;Mercedes-Benz 300;LP384CV;73564038999;96;186;SB39106HH;IT06L0333776209000000013320;Castani;Grigi;Leone;34;;;;;;;
3;Ilario;Novarini;M;Angri;Campania;SA;84012;A294;089;15/09/2000;Persona nata di Venerdì (venerdì), era il 15 Settembre 2000 o, se preferite, nata il giorno ven 15 set 00;23;NVRLRI00P15A294N;Saluzzo;Piemonte;CN;12037;Via G.Scagliosi, 256;0175/1058369;ilario.novarini@virgilio.it;RS35lugkW34O;ilario.novarini@namirial.com;JX55plllN10U;http://www.i.novarini.it;Licenza media;Guardarobiere;Coniugato;Isotta Giuriati;Cristianesimo;Ford Maverick;BY400HT;43853914028;48;112;YN21192QZ;IT06L0338190537000000090074;Neri;Ambra;Vergine;;;;;;;;
4;Dino;Mianini;M;Mezzana Mortigliengo;Piemonte;VC;13050;F167;0161;17/01/1969;Persona nata di Venerdì (venerdì), era il 17 Gennaio 1969 o, se preferite, nata il giorno ven 17 gen 69;55;MNNDNI69A17F167X;Sannicandro Garganico;Puglia;FG;71015;Via C.Pardi, 222;0881/601743;d.mianini@libero.it;JF46xwtbA46K;dino.mianini@actalis.com;IS58qkrfU75F;http://www.dino-mianini.net;Licenza media;Orticoltore;Coniugato;Genoveffa Tufi;Cristianesimo;Mercedes-Benz G 300;TY158HH;59313115769;82;185;LD71712FA;IT01L0326521596000000030800;Castani;Grigi;Capricorno;;;;;;;;
5;Gabriella;Tossuti;F;Acceglio;Piemonte;CN;12021;A016;0173;21/12/2003;Persona nata di Domenica (domenica), era il 21 Dicembre 2003 o, se preferite, nata il giorno dom 21 dic 03;20;TSSGRL03T61A016G;San Zeno di Montagna;Veneto;VR;37010;Via Contarini, 41;045/743406;gabriella.tossuti@virgilio.it;TZ58fzpsP81E;gabriella.tossuti@itnet.com;BR37smvkL01D;http://www.gabriella.tossuti.it;Licenza media;Disinfestatore;Coniugata;Torquato Tagliavia;Cristianesimo;Suzuki Swift;CL533HG;37984660575;92;201;SI77293TW;IT09L0825566594000000063710;Biondi;Verdi;Sagittario;;;;;;;;
6;Giorgia;Tibollo;F;Bonifati;Calabria;CS;87020;A973;0984;05/09/2008;Persona nata di Venerdì (venerdì), era il 05 Settembre 2008 o, se preferite, nata il giorno ven 05 set 08;15;TBLGRG08P45A973Z;Laives;Trentino Alto Adige;BZ;39055;Via G.Gershwin, 233;0471/792724;g.tibollo@hotmail.com;JM50sipbZ65P;;GF94nddmM48O;http://www.giorgia.tibollo.net;Licenza media;Piazzista;Coniugata;Gianpiero Berardini;Nessuna (Ateismo);;;;91;204;VI52657PT;;Castani;Azzurri;Vergine;;;;;;;;
7;Geronimo;Garbino;M;Felitto;Campania;SA;84055;D527;089;01/09/1970;Persona nata di Martedì (martedì), era il 01 Settembre 1970 o, se preferite, nata il giorno mar 01 set 70;53;GRBGNM70P01D527V;Poggio Rusco;Lombardia;MN;46025;Via A.Buttie, 136;0376/991398;geronimo.garbino@yahoo.com;UV09mvxeC55R;gero.garb@actalis.com;UH01opjyK42M;http://www.geronimo-garbino.net;Laurea in Scienze e Tecnologie Fisiche;Infermiere Caposala;Divorziato;Marianna Chiappuzzi;Cristianesimo;Nissan NV200;AC941XY;24266024469;62;138;UC38672MK;IT15L0707263557000000042689;Biondi;Azzurri;Vergine;;;;;;;;
8;Alda;Renieri;F;Lanzada;Lombardia;SO;23020;E443;0342;13/01/1981;Persona nata di Martedì (martedì), era il 13 Gennaio 1981 o, se preferite, nata il giorno mar 13 gen 81;43;RNRLDA81A53E443A;Monte San Pietro;Emilia Romagna;BO;40050;Via Gran Sasso, 119;051/528479;alda.renieri@gmail.com;XX41fwylC96U;alda.reni@itnet.com;IC28oavhU59B;http://www.alda.renieri.it;Licenza media;Pantografista;Nubile;;Buddhismo;Suzuki Kizashi;EB963NL;96310267202;91;147;GJ23622PY;IT08L0829572283000000064832;Castani;Grigi;Capricorno;;;;;;;;
9;Lidia;Rovegno;F;Belmonte Calabro;Calabria;CS;87033;A762;0984;25/10/1987;Persona nata di Domenica (domenica), era il 25 Ottobre 1987 o, se preferite, nata il giorno dom 25 ott 87;36;RVGLDI87R65A762V;Carro;Liguria;SP;19012;Via M.Migliaccio, 7;0187/518565;lidia.rovegno@gmail.com;VK23fpuwP97S;lidia.rovegno@irideos.com;FT92ebtsG19K;http://www.lidia.rovegno.com;Licenza media;Cesellatore;Vedova;Gastone Medves;Cristianesimo;Daewoo Nubira;ZT000NS;52011447693;63;120;YV43490NC;IT12L0707215024000000065055;Biondi;Verdi;Scorpione;;;;;;;;
10;Angela;Vigoni;F;Fiuminata;Marche;MC;62020;D628;0733;05/08/1971;Persona nata di Giovedì (giovedì), era il 05 Agosto 1971 o, se preferite, nata il giorno gio 05 ago 71;52;VGNNGL71M45D628L;Caprile;Piemonte;BL;32023;Via D.Lanza, 146;0437/244318;angela.vigoni@katamail.it;IA81rrdzK10J;angela.vigoni@namirial.com;DP29ezvoO27F;http://www.angela-vigoni.it;Diploma di specializzazione;Crocerossina;Vedova;Graziano Vecchini;Ebraismo;Volkswagen Lupo;JC374AS;91905732699;53;111;GM17194WH;IT01L0845068297000000062831;Rossi;Marrone chiaro;Leone;89;87;Samsung;Galaxy S23 Ultra;2;Xiaomi;Mi 11 Lite;2
